word	meaning	sent_lc	sent_en
gro misyè (n. phr.)	big shot, important person, bigwig	Çé in gro misyè. Li gin in ta larjan.	He's an important man. He's got a lot of money.
gin mont (v. phr.)	to have the habit of	Yé té gin mont kashé kan kèkenn té konyé a lapòt.	They had a habit of hiding when someone knocked on the door.
lamont (n.)	watch	Li t'ap alé magazin é li di, "lèsé gardé wa ki lèr li gin en sô lamont."	He was going to the store and said, "Let's look to see what time he's got on his watch."
gran-moun (n. phr.)	1. old people<br>2. grand parents<br>3. famous person<br>4. adult		
le moun nwa (n. phr.)	black people	É ou to was le moun nwa, de kreyòl, çé kreyòl.	And where you see black fols, Creoles, they speak Creole.
moun lòt kotè (n. phr.)	strangers, foreigners	Nou dòn tou nô larjan a moun lòt koté-yé, mo pens.	We gave all our money to people in other countries, I think.
moun-d-koulèr (n. phr.)	colored people, black people	Huey P. Long t'olé èdé le moun koulèr.	Huey P. Long wanted to help black people.
pa gran moun (n. phr.)	not too many people, few people	Mé ya pa gran moun ki té shashé de kokodri.	There aren't a lot of people who went alligator hunting.
ti moun (n. phr.)	children	Ti-moun yé jou pa lamaran kònm kan nouzòt té piti.	Children today don't play ring-around-the-rosie liek we used to when we were little.
mou (adj.)	1. soft<br>2. limp, flaccid	1. Toushé letòf-çala. Wa kòmen mou li yé.<br>2. Li si jèn. Li pa koné chimbo. Li mou.	1. Feel this cloth. See how soft it is.<br>2. He's so young. he can't hold himself up. He's limp.
mouran (adj.)	dying	Mo pa linm wa moun mouran, sirtou kan yé mouri en jisté.	I don't like seeing people dying, especially when they die rightous.
moush (n.)	1. fly<br>2. honeybee<br>3. fly larvae	1. In ti bònòm godron, çé pou trapé demoush.<br>2. Denishé demoush, fé dimyèl.<br>3. Pou panari, to mèt lemoush in lagres si la ou ça fé mal. Kan li vyèn rouj to retir lemoush.	1. A tar baby, is for catching flies.<br>2. Remove the bees to make honey.<br>3. For whitlow, you put maggots and grease on the spot where it hurts. When it turns red you remove the maggots.
fèb konm in mouton (adj. phr.)	weak as a sheep	To byin hardi, gro narb koshon, to gro, mé fèb konm in mouton.	You are healthy, big hog ofmmmjm&nbsp; a tree, you're big but weak as a sheep.
mouyasé (v.)	to drizzle	lapli p'ap tombé fòr. Li jish ap mouyasé.	It's not raining hard. It's just drizzling.
mové lèb (n. phr.)	weed		
mové lashansh (n. phr.)	bad luck		
mové shvè (n. phr.)	bad hair, kinky hair		
mové vivan (n. phr.)	ghost, evil spirit that haunts a house	In lamézon ki gin in mové vivan.	A house that is haunted by a spirit.
le prèmyé mwa (n. phr.)	the first of the month	Mo pey le prèmyé mwa.	I get paid on the first of the month.
mwa pasé (n. phr.)	last month	Li jish gin sô birthday mwa pasé.	He just had his birthday last month.
tou le mwa (n. phr.)	every month	Mo pè pa kouri lègliz. Prèt vini tou le mwa komuni mwa.	I can't go to church. The priest comes every month to give me communion.
a mwins ke (conj.)	unless	Mo pa koné komen yé pèlé "low hell" en Français a mwins ke ça swa Pays Bas la yé dan journaux parlé kèk fwa.	I don't know what they call "low hell" in French unless, it's those "Netherlands" that the newspapers talk about sometimes.
mwins... ke (adj. quant. comp.)	less... than	Mo wa li mwens ke labitid.	I see him less often than usual.
fé myè (v. phr)	1. had better (need to)<br>2. to feel better, do better (after an illness)	1. To fé myè ça o m'a tayé tô chi.<br>2. Mé apé fé myè, mé, mo koné de jou mo pa byin ditou.	1. You'd better do that or I'll whip your ass.<br>2. I'm doing better, but there are days where I'm not well at all.
la myè (adj.)	the best	Ina dan flèv. Mé pli fonn, si in lakoulé shèsh, çé la yé la myè, dan koulè.	There are (mudfish) in the river. But in the deeper water, if a stream dries out, that's where they're the best.
vini myè (v. phr.)	to heal, get better	Si to té gin in bobo, ple ki t'ap abouti pou vini myè, yé té mét in ravé en ça.	If you had a wound that was healing, they would put a cockroach on it.
enn (n.)	one	Çé té enn pyas par jou yé t'apé peyé.	It was one dollat a day they were paying.
mèrd (n.)	1. shit<br>2. problem, trouble, difficulty<br>3. thing	1. Mo di, "Mèrd. Mo kolèr".<br>2. Pètèt kèk lamèd arivé enkò.<br>3. larokèt çé kèk lamèd yé plant dan jardin.	1. I said, "Shit. I'm angry."<br>2. Perhaps another problem will happen.<br>3. Yellow rocket i simething they plant in the garden.
fé manjé lamèrd (v. phr.)	to make someone eat shit	Mo ja tendé yé di, "M'a fé to manjé lamèd!"	I've heard people say, "I'll make ou eat shit!"
va a lamèrd (exp.)	Go to hell!		
pa in mèrd (adv. phr.)	not a damn thing	Yé pa dòn nouzòt in mèrd.	They gave us nothing at all.
byin mèrsi (int.)	thanks a lot		
mèt par-tèr (v. phr.)	1. to set down, put down<br>2. to put down (a card, an amount of money, in a game...)	1. M'a mèt twa partè la é to ça gin pou marshé labalans larout.<br>2. Nou jwé pou trwa sou, vou koné çé pa larjan, n'a mèt trwa sou pa-tè.	1. I'll let you down there, and you'll have to go the rest of the way on foot.<br>2. We play for three cents, you know that's not big money, we just put down three cents.
mèt latab (v. phr.)	to set the table	Mét la nap en latab é no va mèt latab.	Put a tablecloth on the table and we'll set the table.
mèt devan lalwa (v. phr.)	to arrest, take to court	Mo mèt li devan lalwa. Li twé mô shyin.	I sued him. He killed my dog.
mèt in grigri (v. phr.)	to cast a spell		
mèt a langré (v. phr.)	to fatten up, make fat	Ina de kaj de poul pou dan-l-tem nou té prenn de poul mèt yé a langré pou engrèsé.	There were cages from the time when they used to take chickens to fatten them up.
mèt a tèr (v. phr.)	to land	Kan bato-la mèt a tèr, tou moun desann.	When the boat landed, everyone got off.
mèt down (v. phr.)	to put down, insult	In kousayèr... T'apé mèt li down kan to di çé in siro.	A womanizer... You're putting him down when you call him a ladies man.
mèt latèr (v. phr.)	to bank up, rebank, place soil around the base of (plants)	Mo mèt latè ora dekan-la.	I put dirt around the base of the cane stalks.
mèt li-menm en ta (v. phr.)	to coil up	Li mèt li-menm en ta. Pou li soté, pou li spring, pou li mòrdé twa.	It (the rattlesnake) coils up in order to jump, in order to bite you.
mèt on (v. phr.)	to turn on	Mo sé monté trèktè, mo sé mèt lalimyè onn.	I would go into the tractor, I would put the light on.
mèt endan (v. phr.)	to fool, trick	Antouènè, si nou pa byin vèyé, Milatès va mèt nou en dèdans.	Antoine, if we don't pay close attention, the mulattoes will trick us.
mèt en (sô) gad (v. phr.)	to notify		
mèt koushé (v. phr.)	to put to bed, lay down	Li mèt ti bébé-la koushé dan bèrsèz-la.	She lay the baby down in it's crib.
mèt cérémoni (n. phr.)	Master of Ceremonies	Mishé Préval té capitin bal. Sô koshèr Louis té mèt cérémoni.	Mr. Preval was captain of the ball, and his coachman was the master of ceremonies.
mèt d'ékipaj (n. phr.)	superintendent of sugar boilers	Mèt Rénard çé tô dépité ou sô prémyé kòmis, é lòt té mèt d'ékipaj.	Master Fox was his deputy of chief clerk, and the other was mate.
mèt lamizik (n. phr.)	music teacher		
fé akrwa (v. phr.)	to make some one believe something	Mo t'ap fé li akrwa mo t'ap alé en in piknik.	I was making him believe I was going on a picnic.
mèlanjé (v. tr.)	to mix, mix up	Nou patwa, çé té in langaj ki apé mèlanjé. Çé mèlanjé avèk, mo pens, le nwar, le zendyen, le françé. Ça tou mèlanjé. Epi avèk langlé osi.	Our 'patois' is a mixed language. It is mixed with, I think, the language of Africans, Indians and French. And English also.
fré (v. imperfect)	used to have (imperfect conugation of fé)	Kan yé vini yé fré chwé de trwa gro koshon.	When they came they would have several big hogs killed.
fèzè (v. imperfect)	did, used to do (imperfect conjugation of fé)	To min lòkoupasyon? Mo né isi, é nou fèzè travay on the farm.	You mean my occupation? I was born here, and we did work on the farm.
fèt (pat part.)	made (past particle conjugation of fé)	De gro fwèt fèt avèk lapo bèf.	Big whips made with cowhide.
fé kònm (v. phr.)	to act like	Arèt ça. T'ap fé kònm in enbesil.	Stop that. You're acting like an idiot.
fèt konmpren (v. phr.)	to (be able to) understand	Ça ina wrong avèk blan é nwa? Dèpi tem mo viv, çé té toujou konm ça, olé bat konm shyin é shat, mo pa fèt konmpren ça ina.	What is wrong with whites and blacks? As long as I've been alive it's always been like that, they've wanted to fight like cats and dogs. I can't understand what's wrong.
fé li (v. phr.)	to make it, succeed, get along	Komen t'ap fé li jodi-la? To pi malad?	How are you doing today? You aren't sick anymore?
fé mèg (v. phr.)	to abstain from meat	Fé gombo vert, mô vyé, çé jordi vendrédi, no va fé mèg.	Make a vegetarian gombo, old pal. Today is Friday and we'll abstain from meat.
fé ni ènn ni de (v. phr.)	to not hesitate	Balin fé ni ènn ni de, li pren la kord dan sô ladjoul é li du Kompair lapin, "Kan mo va tendé tambou mò halé."	Whale did not hesitate, he told Brer Rabit, "When I hear the drum I will pull."
tou fé (adj. phr.)	ready-made	M'ashté in gato. Li té tou fé é li té bon.	I bought a cake. It was ready-made and it was good.
mènné bèk (v. phr.)	1. to take/bring some one back home<br>2. to remember, recall, bring back to mind	1. M'a vini shèrshé twa é mènné twa bèk.<br>2. Kishoj d pasé lontem pasé, li kapab mènné li bèk.	1. I'll come and get you and take you back home.<br>2. Somthing that happened long ago, he can remember that.
mènné dibri (v. phr.)	to make noise		
mènné di trèn (v. phr.)	to make noise		
mènné komèrs (v. phr.)	to cheat on, run around on (one's spouse)		
mènné koté lalwa (v. phr.)	1. to sue, prosecute, take to court<br>2. to turn some one in to the police	1. Yé pa ka sèrvi nòm-yé. Yé a sue twa, y'a mènné koté lalwa-la pou zafèr ça, vou pa ka sèrvi nom-yé.<br>2. M'ap mènné li a lalwa. Li chwé in nònm.	1. You can't use their names. They will sue you, take you to court, you can't use their names.<br>2. I'm turning him in to the police. He killed a man.
mènnén dan latèt (v. phr.)	to remember, recall, bring back to mind	Mo gin pou jonglé in ti brin, mo té koné plin endan zafè-çayé byin, drwat la mo jish pa ka mènné yé dan latèt astèr-la.	I have to think for a moment, I used to know a lot about that, I just can't think of them right now.
mènné bèbé (v. phr.)	to have a baby	Yé té va pa lopital pou mènné bèbé.	They didn't go to the hospital to have their babies.
mènné piti-yé (v. phr.)	to have a baby		
mènné dan monn-la (v. phr)	to bring into the world	Té janmé gin doktè avèk tou piti-yé mo mènné dan monn-la.	I never had a doctor for any of the children I brought into this world.
monn (n.)	world	To fé myè pou wa tô moman piti. Çé pou tô moman gin twa dan moun.	You really should go see your mother, child. It's thanks to your mother that you're in the world.
milyè ran (n. phr.)	middle row, space between two planted rows in a field	Ça ki apé dan milyè ran-la ramas dekann-la.	The one who is in the middle of the row gathers the cane.
milyè lamin (n. phr.)	palm of the hand	Milyè tô lamin.	Your palm.
mô, mon (pron.)	my	Mô mézon pli joli ke tô-kèn.	My house is prettier than yours.
mòché (n.)	1. half<br>2. half-breed	1. Li travay lamòché in jou.<br>2. Inavé in boug koulèr, çé té in vyè lamòché pré.	1. He worked half the day.<br>2. There was a guy, he was black, but he was a half-breed.
a mòché (adv. phr.)	half, halfway		
o lamòché (adv. phr.)	&nbsp;by half (term used to describe share cropping in which one half of the harvest is paid in rent)	Mo koup sô o lamòché. Mo gin in bòs li dòn mo sô lamòché.	I cut that in half. I have a boss who gives me half of it.
ki mònyèr (adv. phr.)	how, in what way?		
vilèn mònyèr (n. phr.)	swear word, dirty word, bad word	Si yé tendé li çé jish i pè word koman ou jiré, tou zafè avèk vilen mònyèr-yé.	If they heard it (Creole), it was just swear words and nasty things like that.
bon mònyèr (n. phr.)	good manners	Li gin bon mònyèr.	He has good manners.
kèk mwòyèn (adv. phr.)	somehow	To té gin sèré yé kèk mwòyèn si to té pa ka ashté yé.	You had to store them somehow if you couldn't buy them.
nimpòrt ki mwòyèn (adv. phr.)	any old way, no matter how		
bon mòrso (n. phr.)	a lot, a good bit	Mo apròn in bon mòrso.	I've learned quite a lot.
mòrso d tèr (n. phr.)	plot of ground	É la si mo sé gin in ti mòrso d tèr ke mô popa té kité mwa.	And if I had a little plot of ground that my dad had left me.
nimpòrt (adv.)	it doesn't matter, never mind	Ninpòr kalité t'olé jordi, t'alé gin li.	No matter what kind you want today, you will have it.
ninpòrt ça (pron. indef.)	whatever	Ninpòrt ça t'olé.	Whatever you want.
nimpòrt ki mònyèr (adv. phr)	any old way, no matter how	To iuvèr li avèk in ti swip, kiltivatè ou in shari, nimpòrt ki mònyèr.	You open it up with a sweeper, a cultivator or a plow, it doesn't matter how.
nimpòrt ki tem (adv. phr.)	whenever, any time	Vyin nimpòrt ki tem.	Come whenever.
nimpòrt komen (adv.)	1. any old way, no matter how<br>2. as... as, no matter how	1. Yé té pa ap kouri dan shmenn kouri nimpòr komen.<br>2. Nimpòrt komen maladi li yé, li tou-l-tem apé ri.	1. They weren't just running around the streets like that.<br>2. No matter how sick he is, he is always laughing.
nimpòrtkomen fiy (n. phr.)	woman of loose morals, slut, easy woman	É tou çé bouk dòrey, çé zafèr-çala, yé inavé pa d ça, non. Le moman té pa olé, paskè yé té krwa çé té de nimpòrt komen fiy.	And all those earrings and those things, there wasn't any of that. Mothers didn't want it because they thought they were easy women (who wore that).
bon nom (n. phr.)	first name, given name	Mô granpèr sô nom té Alfons. Ça çé sô bon nom.	My grandfather's name was Alphonse. That was his first name.
dènyèr nom (n. phrn)	last name	San Romèn çé sô dènyè nom.	Saint Romain is his last name.
gin nom (v. phr.)	to be named after	Amelis, li gin nom a mô popa é katrin, li gin nom a mô moman.	Amelisse was named after my dad and Catherine was named after my mother.
